1600 1 2, 1600 1 3 
1200 3 28, 1200 3 29 
2000 5 29, 2000 5 30 
1600 8 30, 1600 8 31 
1200 10 31, 1200 11 1 
1600 2 2, 1600 2 3 
1600 2 28, 1600 2 29 
2000 2 29, 2000 3 1 
2000 2 30, wrong input!
1200 2 31, wrong input!
2400 4 5, 2400 4 6 
2000 9 28, 2000 9 29 
2000 11 29, 2000 11 30 
1600 9 30, 1600 10 1 
1600 9 31, wrong input!
1200 12 9, 1200 12 10 
1200 12 28, 1200 12 29 
1200 12 29, 1200 12 30 
1600 12 30, 1600 12 31 
1600 12 31, 1601 1 1 
2004 1 5, 2004 1 6 
2008 3 28, 2008 3 29 
2016 7 29, 2016 7 30 
2016 5 30, 2016 5 31 
2016 8 31, 2016 9 1 
2004 2 19, 2004 2 20 
1992 2 28, 1992 2 29 
1992 2 29, 1992 3 1 
1988 2 30, wrong input!
1988 2 31, wrong input!
1002 4 1, 1002 4 2 
1002 4 28, 1002 4 29 
1002 9 29, 1002 9 30 
1002 11 30, 1002 12 1 
1002 11 31, wrong input!
1992 12 15, 1992 12 16 
1992 12 28, 1992 12 29 
1992 12 29, 1992 12 30 
1992 12 30, 1992 12 31 
1992 12 31, 1993 1 1 
1994 1 1, 1994 1 2 
1994 1 28, 1994 1 29 
1994 7 29, 1994 7 30 
1994 8 30, 1994 8 31 
1991 11 31, wrong input!
1991 2 14, 1991 2 15 
1991 2 28, 1991 3 1 
1991 2 29, wrong input!
1993 2 30, wrong input!
1001 2 31, wrong input!
1003 4 3, 1003 4 4 
1999 4 28, 1999 4 29 
1911 4 29, 1911 4 30 
1951 11 30, 1951 12 1 
1953 9 31, wrong input!
2017 12 18, 2017 12 19 
2017 12 28, 2017 12 29 
1001 12 29, 1001 12 30 
2001 12 30, 2001 12 31 
2003 12 31, 2004 1 1 
